t,c_mean,c_surface,c_bulk,gamma_max,gamma_surface,R_max,R_surface,j_mean
0.00000000e+00,1.00000002e+04,1.00000021e+04,1.00000000e+04,6.00000000e-01,6.00000000e-01,2.02342142e-03,2.02342142e-03,4.77752279e+00
5.00000000e-03,1.00000212e+04,1.00002310e+04,1.00000000e+04,6.00000000e-01,5.99990847e-01,2.23183060e-01,2.23183060e-01,5.04070965e+00
1.00000000e-02,1.00000412e+04,1.00004480e+04,1.00000000e+04,6.00000000e-01,5.99982183e-01,4.32762244e-01,4.32762244e-01,5.78608934e+00
1.50000000e-02,1.00000642e+04,1.00001507e+04,1.00000554e+04,5.99997783e-01,5.99994052e-01,8.88043913e-02,8.88043913e-02,4.46882246e+00
2.00000000e-02,1.00000813e+04,1.00003368e+04,1.00000554e+04,5.99997783e-01,5.99986624e-01,2.68672255e-01,2.68672255e-01,5.58638916e+00
2.50000000e-02,1.00001073e+04,1.00001124e+04,1.00001068e+04,5.99995739e-01,5.99995487e-01,1.19039892e-04,1.19039892e-04,5.32323252e+00
3.00000000e-02,1.00001238e+04,1.00002490e+04,1.00001112e+04,5.99995554e-01,5.99990121e-01,1.29891714e-01,1.29891714e-01,4.57786998e+00
3.50000000e-02,1.00001479e+04,1.00005108e+04,1.00001112e+04,5.99995554e-01,5.99979672e-01,3.82822598e-01,3.82822598e-01,5.89518472e+00
4.00000000e-02,1.00001672e+04,1.00001722e+04,1.00001667e+04,5.99993331e-01,5.99993198e-01,2.12427429e-03,2.12427429e-03,4.77763080e+00
4.50000000e-02,1.00001883e+04,1.00004011e+04,1.00001667e+04,5.99993331e-01,5.99984045e-01,2.23286497e-01,2.23286497e-01,5.04082361e+00
5.00000000e-02,1.00002082e+04,1.00006180e+04,1.00001667e+04,5.99993331e-01,5.99975380e-01,4.32868129e-01,4.32868129e-01,5.78622015e+00
5.50000000e-02,1.00002312e+04,1.00003177e+04,1.00002224e+04,5.99991102e-01,5.99987371e-01,8.88054101e-02,8.88054101e-02,4.46892349e+00
6.00000000e-02,1.00002483e+04,1.00005039e+04,1.00002224e+04,5.99991102e-01,5.99979944e-01,2.68675337e-01,2.68675337e-01,5.58651545e+00
6.50000000e-02,1.00002743e+04,1.00002794e+04,1.00002738e+04,5.99989058e-01,5.99988807e-01,1.19041258e-04,1.19041258e-04,5.32335287e+00
7.00000000e-02,1.00002908e+04,1.00004160e+04,1.00002782e+04,5.99988873e-01,5.99983440e-01,1.29893205e-01,1.29893205e-01,4.57797348e+00
7.50000000e-02,1.00003149e+04,1.00006778e+04,1.00002782e+04,5.99988873e-01,5.99972991e-01,3.82826990e-01,3.82826990e-01,5.89531799e+00
8.00000000e-02,1.00003342e+04,1.00003392e+04,1.00003337e+04,5.99986651e-01,5.99986517e-01,2.12429866e-03,2.12429866e-03,4.77773881e+00
8.50000000e-02,1.00003553e+04,1.00005681e+04,1.00003337e+04,5.99986651e-01,5.99977364e-01,2.23289058e-01,2.23289058e-01,5.04093757e+00
9.00000000e-02,1.00003752e+04,1.00007850e+04,1.00003337e+04,5.99986651e-01,5.99968700e-01,4.32873094e-01,4.32873094e-01,5.78635096e+00
9.50000000e-02,1.00003982e+04,1.00004847e+04,1.00003895e+04,5.99984422e-01,5.99980691e-01,8.88064289e-02,8.88064289e-02,4.46902452e+00
1.00000000e-01,1.00004153e+04,1.00006709e+04,1.00003895e+04,5.99984422e-01,5.99973263e-01,2.68678419e-01,2.68678419e-01,5.58664175e+00
1.05000000e-01,1.00004413e+04,1.00004464e+04,1.00004408e+04,5.99982378e-01,5.99982126e-01,1.19042623e-04,1.19042623e-04,5.32347321e+00
1.10000000e-01,1.00004579e+04,1.00005830e+04,1.00004452e+04,5.99982192e-01,5.99976760e-01,1.29894695e-01,1.29894695e-01,4.57807697e+00
1.15000000e-01,1.00004819e+04,1.00008448e+04,1.00004452e+04,5.99982192e-01,5.99966311e-01,3.82831381e-01,3.82831381e-01,5.89545127e+00
1.20000000e-01,1.00005012e+04,1.00005062e+04,1.00005007e+04,5.99979970e-01,5.99979836e-01,2.12432303e-03,2.12432303e-03,4.77784682e+00
1.25000000e-01,1.00005223e+04,1.00007351e+04,1.00005007e+04,5.99979970e-01,5.99970684e-01,2.23291620e-01,2.23291620e-01,5.04105153e+00
