t,c_mean,c_surface,c_bulk,gamma_max,gamma_surface,R_max,R_surface,j_mean
0.00000000e+00,1.00000003e+04,1.00000036e+04,1.00000000e+04,6.00000000e-01,6.00000000e-01,3.51151646e-03,3.51151646e-03,8.29108052e+00
5.00000000e-03,1.00000337e+04,1.00003671e+04,1.00000000e+04,6.00000000e-01,5.99985460e-01,3.54667590e-01,3.54667590e-01,8.29111801e+00
1.00000000e-02,1.00000671e+04,1.00007306e+04,1.00000000e+04,6.00000000e-01,5.99970920e-01,7.05832431e-01,7.05832431e-01,8.29115550e+00
1.50000000e-02,1.00001005e+04,1.00010941e+04,1.00000000e+04,6.00000000e-01,5.99956381e-01,1.05700604e+00,1.05700604e+00,8.29119299e+00
2.00000000e-02,1.00001339e+04,1.00014576e+04,1.00000000e+04,6.00000000e-01,5.99941843e-01,1.40818841e+00,1.40818841e+00,8.29123048e+00
2.50000000e-02,1.00001673e+04,1.00018210e+04,1.00000000e+04,6.00000000e-01,5.99927305e-01,1.75937955e+00,1.75937955e+00,8.29126796e+00
3.00000000e-02,1.00002008e+04,1.00021844e+04,1.00000000e+04,5.99999999e-01,5.99912768e-01,2.11057945e+00,2.11057945e+00,8.29130545e+00
3.50000000e-02,1.00002342e+04,1.00025478e+04,1.00000000e+04,5.99999999e-01,5.99898232e-01,2.46178812e+00,2.46178812e+00,8.29134294e+00
4.00000000e-02,1.00002676e+04,1.00029112e+04,1.00000000e+04,5.99999999e-01,5.99883696e-01,2.81300554e+00,2.81300554e+00,8.29138042e+00
4.50000000e-02,1.00003010e+04,1.00032746e+04,1.00000000e+04,5.99999999e-01,5.99869160e-01,3.16423173e+00,3.16423173e+00,8.29141791e+00
5.00000000e-02,1.00003343e+04,1.00036380e+04,1.00000000e+04,5.99999999e-01,5.99854626e-01,3.51546667e+00,3.51546667e+00,8.29145539e+00
5.50000000e-02,1.00003677e+04,1.00040013e+04,1.00000000e+04,5.99999999e-01,5.99840091e-01,3.86671038e+00,3.86671038e+00,8.29149288e+00
6.00000000e-02,1.00004011e+04,1.00043647e+04,1.00000000e+04,5.99999999e-01,5.99825558e-01,4.21796284e+00,4.21796284e+00,8.29153036e+00
6.50000000e-02,1.00004345e+04,1.00047280e+04,1.00000000e+04,5.99999999e-01,5.99811025e-01,4.56922406e+00,4.56922406e+00,8.29156785e+00
7.00000000e-02,1.00004679e+04,1.00050913e+04,1.00000000e+04,5.99999999e-01,5.99796493e-01,4.92049403e+00,4.92049403e+00,8.29160533e+00
7.50000000e-02,1.00005013e+04,1.00054546e+04,1.00000000e+04,5.99999999e-01,5.99781961e-01,5.27177276e+00,5.27177276e+00,8.29164281e+00
8.00000000e-02,1.00005347e+04,1.00058179e+04,1.00000000e+04,5.99999999e-01,5.99767430e-01,5.62306024e+00,5.62306024e+00,8.29168030e+00
8.50000000e-02,1.00005681e+04,1.00061812e+04,1.00000000e+04,5.99999998e-01,5.99752899e-01,5.97435647e+00,5.97435647e+00,8.29171778e+00
9.00000000e-02,1.00006015e+04,1.00065444e+04,1.00000000e+04,5.99999998e-01,5.99738369e-01,6.32566146e+00,6.32566146e+00,8.29175526e+00
9.50000000e-02,1.00006349e+04,1.00069076e+04,1.00000000e+04,5.99999998e-01,5.99723840e-01,6.67697519e+00,6.67697519e+00,8.29179274e+00
