x_um,c,gamma,R
0.0000,1.08771160e+04,0.564915,0.000000
1.6000,1.08771160e+04,0.564915,0.000000
3.2000,1.08771160e+04,0.564915,0.000000
4.8000,1.08771160e+04,0.564915,0.000000
6.4000,1.08771160e+04,0.564915,0.000000
8.0000,1.08771160e+04,0.564915,0.000000
9.6000,1.08771160e+04,0.564915,0.000000
11.2000,1.08771160e+04,0.564915,0.000000
12.8000,1.08771160e+04,0.564915,0.000000
14.4000,1.08771160e+04,0.564915,0.000000
16.0000,1.08771160e+04,0.564915,0.000000
17.6000,1.08771160e+04,0.564915,0.000000
19.2000,1.08771160e+04,0.564915,0.000000
20.8000,1.08771160e+04,0.564915,0.000000
22.4000,1.08771160e+04,0.564915,0.000000
24.0000,1.08771160e+04,0.564915,0.000000
25.6000,1.08771160e+04,0.564915,0.000000
27.2000,1.08771160e+04,0.564915,0.000000
28.8000,1.08771160e+04,0.564915,0.000000
30.4000,1.08771160e+04,0.564915,0.000000
32.0000,1.08771160e+04,0.564915,0.000000
33.6000,1.08771160e+04,0.564915,0.000000
35.2000,1.08771160e+04,0.564915,0.000000
36.8000,1.08771160e+04,0.564915,0.000000
38.4000,1.08771160e+04,0.564915,0.000000
40.0000,1.08771160e+04,0.564915,0.000000
41.6000,1.08771160e+04,0.564915,0.000000
43.2000,1.08771160e+04,0.564915,0.000000
44.8000,1.08771160e+04,0.564915,0.000000
46.4000,1.08771160e+04,0.564915,0.000000
48.0000,1.08771160e+04,0.564915,0.000000
49.6000,1.08771160e+04,0.564915,0.000000
51.2000,1.08771160e+04,0.564915,0.000000
52.8000,1.08771160e+04,0.564915,0.000000
54.4000,1.08771160e+04,0.564915,0.000000
56.0000,1.08771160e+04,0.564915,0.000000
57.6000,1.08771160e+04,0.564915,0.000000
59.2000,1.08771160e+04,0.564915,0.000000
60.8000,1.08771160e+04,0.564915,0.000000
62.4000,1.08771160e+04,0.564915,0.000000
64.0000,1.08771160e+04,0.564915,0.000000
65.6000,1.08771160e+04,0.564915,0.000000
67.2000,1.08771160e+04,0.564915,0.000000
68.8000,1.08771160e+04,0.564915,0.000000
70.4000,1.08771161e+04,0.564915,0.000034
72.0000,1.08771161e+04,0.564915,0.000043
73.6000,1.08771161e+04,0.564915,0.000055
75.2000,1.08771161e+04,0.564915,0.000070
76.8000,1.08771161e+04,0.564915,0.000089
78.4000,1.08771161e+04,0.564915,0.000113
80.0000,1.08771161e+04,0.564915,0.000143
