x_um,c,gamma,R
0.0000,1.00028773e+04,0.599885,0.000000
1.6000,1.00030427e+04,0.599878,0.000000
3.2000,1.00034989e+04,0.599860,0.000000
4.8000,1.00042344e+04,0.599831,0.000000
6.4000,1.00052639e+04,0.599789,0.000000
8.0000,1.00066277e+04,0.599735,0.000000
9.6000,1.00083920e+04,0.599664,0.000000
11.2000,1.00106509e+04,0.599574,0.000000
12.8000,1.00135301e+04,0.599459,0.000000
14.4000,1.00171930e+04,0.599312,0.000000
16.0000,1.00218490e+04,0.599126,0.000000
17.6000,1.00277652e+04,0.598889,0.000000
19.2000,1.00352805e+04,0.598589,0.000000
20.8000,1.00448247e+04,0.598207,0.000000
22.4000,1.00569422e+04,0.597722,0.000000
24.0000,1.00723213e+04,0.597107,0.000000
25.6000,1.00918312e+04,0.596327,0.000000
27.2000,1.01165674e+04,0.595337,0.000000
28.8000,1.01479075e+04,0.594084,0.000000
30.4000,1.01875784e+04,0.592497,0.000000
32.0000,1.02377361e+04,0.590491,0.000000
33.6000,1.03010598e+04,0.587958,0.000000
35.2000,1.03808559e+04,0.584766,0.000000
36.8000,1.04811716e+04,0.580753,0.000000
38.4000,1.06069046e+04,0.575724,0.000000
40.0000,1.07638957e+04,0.569444,0.000000
41.6000,1.09589726e+04,0.561641,0.000000
43.2000,1.11999011e+04,0.552004,0.000000
44.8000,1.14951766e+04,0.540193,0.000000
46.4000,1.18535678e+04,0.525857,0.000000
48.0000,1.22833050e+04,0.508668,0.000000
49.6000,1.27908105e+04,0.488368,0.000000
51.2000,1.33789178e+04,0.464843,0.000000
52.8000,1.40446590e+04,0.438214,0.000000
54.4000,1.47769408e+04,0.408922,0.000000
56.0000,1.55547655e+04,0.377809,0.000000
57.6000,1.63469764e+04,0.346121,0.000000
59.2000,1.71145669e+04,0.315417,0.000000
60.8000,1.78160726e+04,0.287357,0.000000
62.4000,1.84153372e+04,0.263387,0.000000
64.0000,1.88893977e+04,0.244424,0.000000
65.6000,1.92333799e+04,0.230665,0.000000
67.2000,1.94601064e+04,0.221596,0.000000
68.8000,1.95945022e+04,0.216220,47463.029437
70.4000,1.96654045e+04,0.213384,59130.824016
72.0000,1.96983355e+04,0.212067,73901.218622
73.6000,1.97116502e+04,0.211534,92660.480205
75.2000,1.97162834e+04,0.211349,116518.891026
76.8000,1.97176551e+04,0.211294,146877.945642
78.4000,1.97179950e+04,0.211280,185543.620662
80.0000,1.97180546e+04,0.211278,235039.782596
