D_Li,C_rate,helix,T_end,max_R,final_R_surface,max_gamma,final_gamma_surface,delta_c_norm,final_c_mean_norm,time_gamma_above,wall_s,N,L_um
1.2e-14,3.0,0,3600.0,361666.75485089933,361666.75485089933,0.6,0.5541004952912278,0.045879682867158336,0.4152835193998392,1.0,2201.7504189014435,51,80.0
1.2e-14,3.0,1,3600.0,0.6154350769739441,0.5442853673104863,0.6,0.5649150100984288,4.1853254355373793e-07,0.43508461253482805,1.0,2594.659294128418,51,80.0
1.2e-14,5.0,0,3600.0,235659.401506416,235659.401506416,0.6,0.21130697216050986,0.38851149880758146,0.533816242282775,1.0,2200.6156487464905,51,80.0
1.2e-14,5.0,1,3600.0,0.501968625119014,0.40380834606172183,0.6,0.281588896411754,3.4111487658810803e-06,0.7184080279518914,1.0,2580.2303788661957,51,80.0
5e-15,3.0,0,3600.0,361724.5425413802,361724.5425413802,0.6,0.5540885742600782,0.045898858132191744,0.41494839416088297,1.0,2198.3727288246155,51,80.0
5e-15,3.0,1,3600.0,0.6154350811836883,0.5442853710334645,0.6,0.5649150010526078,4.185341135598719e-07,0.43508462157908784,1.0,2580.3089697360992,51,80.0
5e-15,5.0,0,3600.0,235039.46602780663,235039.46602780663,0.6,0.2112778154319841,0.3886070923363487,0.5308254718550742,1.0,2197.252392053604,51,80.0
5e-15,5.0,1,3600.0,0.5019686251185215,0.40380830143531105,0.6,0.28158882268663055,3.41116096926271e-06,0.7184081016648257,1.0,2580.1929638385773,51,80.0
1e-15,3.0,0,3600.0,361765.70464873844,361765.70464873844,0.6,0.5540877579225352,0.04590355296830581,0.4147491848745653,1.0,2199.9402916431427,51,80.0
1e-15,3.0,1,3600.0,0.6154350835893206,0.5442853731609364,0.6,0.5649149958834292,4.1853501068544573e-07,0.43508462674737447,1.0,2580.4125497341156,51,80.0
1e-15,5.0,0,3600.0,234593.51856752226,234593.51856752226,0.6,0.21127667237818448,0.3886437545400187,0.5290329118266682,1.0,2201.973885536194,51,80.0
1e-15,5.0,1,3600.0,0.5019686251182276,0.4038082759336197,0.6,0.28158878055654535,3.411167943122564e-06,0.7184081437879448,1.0,2580.900297164917,51,80.0
5e-16,3.0,0,3600.0,361772.0244672708,361772.0244672708,0.6,0.5540877549103269,0.04590423015251988,0.4147238396155397,1.0,2203.7718210220337,51,80.0
