r_m,g_rr_helix,g_rr_schwarzschild,td_helix,td_schwarz,rho,lk_corr,gamma
2.97940708e+05,1.00000000,101.00000000,1.00000000,0.09950372,1.59399618e-14,0.19894854,0.00000000
2.96444462e+05,1.00000000,203.92947985,1.00000000,0.07002611,1.61819967e-14,0.19894854,0.00000000
2.94948215e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.64289566e-14,0.19894854,0.00000000
2.93451969e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.66809675e-14,0.19894854,0.00000000
2.91955723e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.69381591e-14,0.19894854,0.00000000
2.90459476e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.72006653e-14,0.19894854,0.00000000
2.88963230e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.74686240e-14,0.19894854,0.00000000
2.87466983e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.77421775e-14,0.19894854,0.00000000
2.85970737e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.80214727e-14,0.19894854,0.00000000
2.84474491e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.83066610e-14,0.19894854,0.00000000
2.82978244e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.85978986e-14,0.19894854,0.00000000
2.81481998e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.88953468e-14,0.19894854,0.00000000
2.79985752e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.91991719e-14,0.19894854,0.00000000
2.78489505e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.95095459e-14,0.19894854,0.00000000
2.76993259e+05,1.00000000,999999.99997124,1.00000000,0.00100000,1.98266461e-14,0.19894854,0.00000000
2.75497013e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.01506558e-14,0.19894854,0.00000000
2.74000766e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.04817640e-14,0.19894854,0.00000000
2.72504520e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.08201664e-14,0.19894854,0.00000000
2.71008273e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.11660649e-14,0.19894854,0.00000000
2.69512027e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.15196682e-14,0.19894854,0.00000000
2.68015781e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.18811920e-14,0.19894854,0.00000000
2.66519534e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.22508594e-14,0.19894854,0.00000000
2.65023288e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.26289009e-14,0.19894854,0.00000000
2.63527042e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.30155550e-14,0.19894854,0.00000000
2.62030795e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.34110684e-14,0.19894854,0.00000000
2.60534549e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.38156962e-14,0.19894854,0.00000000
2.59038303e+05,1.00000000,999999.99997124,1.00000000,0.00100000,2.42297027e-14,0.19894854,0.00000000
2.57542056e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.28711480e-14,0.14210610,0.00000000
2.56045810e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.18115901e-14,0.11052697,0.00000000
2.54549563e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.25512914e-14,0.11052697,0.00000000
2.53053317e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.33085445e-14,0.11052697,0.00000000
2.51557071e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.40838731e-14,0.11052697,0.00000000
2.50060824e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.48778196e-14,0.11052697,0.00000000
2.48564578e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.56909465e-14,0.11052697,0.00000000
2.47068332e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.65238362e-14,0.11052697,0.00000000
2.45572085e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.73770930e-14,0.11052697,0.00000000
2.44075839e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.82513432e-14,0.11052697,0.00000000
2.42579593e+05,1.00000000,999999.99997124,1.00000000,0.00100000,3.93177892e-14,0.14210610,0.00000000
2.41083346e+05,1.00000000,999999.99997124,1.00000000,0.00100000,4.00523574e-14,0.14210610,0.00000000
2.39587100e+05,1.00000000,999999.99997124,1.00000000,0.00100000,5.10066732e-14,0.11052697,0.00000000
