r_m,g_rr_helix,g_rr_schwarzschild,td_helix,td_schwarz,rho,lk_corr,gamma
2.97940708e+09,1.00000000,101.00000000,1.00000000,0.09950372,1.59465231e-22,0.00992110,0.00000000
2.98276773e+09,1.00000000,90.77272727,1.00000000,0.10495963,1.62654536e-22,0.00972464,0.00000000
2.98612839e+09,1.00000000,82.44329897,1.00000000,0.11013423,1.72222450e-22,0.00917933,0.00000000
2.98948904e+09,1.00000000,75.52830189,1.00000000,0.11506550,1.81790363e-22,0.00869194,0.00000000
2.99284970e+09,1.00000000,69.69565217,1.00000000,0.11978354,1.84979668e-22,0.00854077,0.00000000
2.99621035e+09,1.00000000,64.70967742,1.00000000,0.12431267,1.91358277e-22,0.00825369,0.00000000
2.99957101e+09,1.00000000,60.39849624,1.00000000,0.12867285,1.94547582e-22,0.00811726,0.00000000
3.00293166e+09,1.00000000,56.63380282,1.00000000,0.13288077,1.97736887e-22,0.00798527,0.00000000
3.00629232e+09,1.00000000,53.31788079,1.00000000,0.13695048,2.04115496e-22,0.00773377,0.00000000
3.00965297e+09,1.00000000,50.37500000,1.00000000,0.14089399,2.13683410e-22,0.00738488,0.00000000
3.01301363e+09,1.00000000,47.74556213,1.00000000,0.14472165,2.20062019e-22,0.00716926,0.00000000
3.01637428e+09,1.00000000,45.38202247,1.00000000,0.14844244,2.39197847e-22,0.00659187,0.00000000
3.01973494e+09,1.00000000,43.24598930,1.00000000,0.15206424,2.45576456e-22,0.00641953,0.00000000
3.02309559e+09,1.00000000,41.30612245,1.00000000,0.15559398,2.58333674e-22,0.00610055,0.00000000
3.02645625e+09,1.00000000,39.53658537,1.00000000,0.15903782,2.67901588e-22,0.00588137,0.00000000
3.02981690e+09,1.00000000,37.91588785,1.00000000,0.16240126,2.71090893e-22,0.00581177,0.00000000
3.03317755e+09,1.00000000,36.42600897,1.00000000,0.16568920,2.80658807e-22,0.00561251,0.00000000
3.03653821e+09,1.00000000,35.05172414,1.00000000,0.16890609,2.71090893e-22,0.00581177,0.00000000
