r_m,g_rr_helix,g_rr_schwarzschild,td_helix,td_schwarz,rho,lk_corr,gamma
2.97940708e+03,1.00000000,101.00000000,1.00000000,0.09950372,0.00000000e+00,0.00000000,0.00000000
2.94981711e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.92022714e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.89063717e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.86104720e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.83145723e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.80186726e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.77227729e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.74268732e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.71309735e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.68350737e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.65391740e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.62432743e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.59473746e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.56514749e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.53555752e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.50596755e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.47637758e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.44678761e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.41719764e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.00171310e-08,0.33033425,0.00000000
2.38760767e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.07704052e-08,0.33033425,0.00000000
2.35801770e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.15619542e-08,0.33033425,0.00000000
2.32842773e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.23942403e-08,0.33033425,0.00000000
2.29883776e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.32699182e-08,0.33033425,0.00000000
2.26924779e+03,1.00000000,999999.99997124,1.00000000,0.00100000,3.62877794e-08,0.19820055,0.00000000
2.23965782e+03,1.00000000,999999.99997124,1.00000000,0.00100000,3.77447096e-08,0.19820055,0.00000000
2.21006785e+03,1.00000000,999999.99997124,1.00000000,0.00100000,3.92806883e-08,0.19820055,0.00000000
2.18047788e+03,1.00000000,999999.99997124,1.00000000,0.00100000,4.09011504e-08,0.19820055,0.00000000
2.15088791e+03,1.00000000,999999.99997124,1.00000000,0.00100000,4.26119850e-08,0.19820055,0.00000000
2.12129794e+03,1.00000000,999999.99997124,1.00000000,0.00100000,5.92261082e-08,0.14157182,0.00000000
