r_m,g_rr_helix,g_rr_schwarzschild,td_helix,td_schwarz,rho,lk_corr,gamma
2.97940708e+03,1.00000000,101.00000000,1.00000000,0.09950372,0.00000000e+00,0.00000000,0.00000000
2.95991442e+03,1.00000000,295.80168373,1.00000000,0.05814330,0.00000000e+00,0.00000000,0.00000000
2.94042175e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.92092909e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.90143642e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.88194376e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.86245109e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.84295843e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.82346576e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.80397310e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.78448043e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.76498777e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.74549510e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.72600244e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.70650977e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.68701711e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.66752444e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.64803178e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.62853911e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.60904645e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.58955378e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.57006112e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.55056845e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.53107579e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.51158312e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.49209046e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.47259779e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.45310513e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.43361246e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.41411980e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.39462713e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.37513447e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.35564180e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.33614914e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.31665647e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.29716381e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.27767114e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.25817848e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.23868581e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.21919315e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.19970048e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.18020782e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.16071515e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.14122249e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.12172982e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.10223716e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.08274449e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.06325183e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.04375916e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.02426650e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
2.00477383e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
1.98528117e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
1.96578850e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
1.94629584e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.91687965e-08,0.99474272,0.00000000
1.92680317e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.97562647e-08,0.99474272,0.00000000
1.90731051e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.03679859e-08,0.99474272,0.00000000
1.88781784e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.10052246e-08,0.99474272,0.00000000
1.86832518e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.16693254e-08,0.99474272,0.00000000
1.84883251e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.23617187e-08,0.99474272,0.00000000
1.82933985e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.30839275e-08,0.99474272,0.00000000
1.80984718e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.38375741e-08,0.99474272,0.00000000
1.79035452e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.46243878e-08,0.99474272,0.00000000
1.77086185e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.54462134e-08,0.99474272,0.00000000
1.75136919e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.63050203e-08,0.99474272,0.00000000
1.73187652e+03,1.00000000,999999.99997124,1.00000000,0.00100000,2.72029123e-08,0.99474272,0.00000000
